Model,Sequence_Length,Embedding_Dim,Learning_Rate,HR@10,NDCG@10
SASRec,70,32,0.0005,0.3879,0.29611293330332566
GRU4Rec,70,32,0.0005,0.4323,0.3571603967811579
SASRec,70,32,0.001,0.4543,0.3686960616209724
GRU4Rec,70,32,0.001,0.4171,0.34948921237382796
SASRec,70,32,0.005,0.5394,0.4207242890967128
GRU4Rec,70,32,0.005,0.449,0.36545770667234406
SASRec,70,64,0.0005,0.4259,0.338739296225449
GRU4Rec,70,64,0.0005,0.4101,0.34533711593054844
SASRec,70,64,0.001,0.4685,0.3791860695560009
GRU4Rec,70,64,0.001,0.4236,0.35094080588496
SASRec,70,64,0.005,0.5337,0.42393995831591474
GRU4Rec,70,64,0.005,0.4559,0.36923275335319594
SASRec,70,128,0.0005,0.4471,0.35995351426241573
GRU4Rec,70,128,0.0005,0.4103,0.34502463266489347
SASRec,70,128,0.001,0.4636,0.3777477289436483
GRU4Rec,70,128,0.001,0.4129,0.34707333640060145
SASRec,70,128,0.005,0.4467,0.3627325290885778
GRU4Rec,70,128,0.005,0.5148,0.4111496664156219
SASRec,70,256,0.0005,0.4451,0.36478885643483744
GRU4Rec,70,256,0.0005,0.4175,0.349201298545492
SASRec,70,256,0.001,0.4525,0.37511673573548626
GRU4Rec,70,256,0.001,0.4142,0.34567461706743446
SASRec,70,256,0.005,0.4436,0.3546534952263384
GRU4Rec,70,256,0.005,0.5604,0.4324710346439198
SASRec,100,16,0.0005,0.3821,0.29115328324329187
GRU4Rec,100,16,0.0005,0.4392,0.3606979069985252
SASRec,100,16,0.001,0.444,0.3596297997671087
GRU4Rec,100,16,0.001,0.4418,0.36108508177499243
SASRec,100,16,0.005,0.535,0.4174516645772259
GRU4Rec,100,16,0.005,0.4582,0.37365299176592714
SASRec,100,32,0.0005,0.3942,0.3022962670814187
GRU4Rec,100,32,0.0005,0.4333,0.35591221690755304
SASRec,100,32,0.001,0.4692,0.37513156837871336
GRU4Rec,100,32,0.001,0.4181,0.35301193772657014
SASRec,100,32,0.005,0.5305,0.4184183554014804
GRU4Rec,100,32,0.005,0.4351,0.3578098660583477
SASRec,100,64,0.0005,0.4316,0.3417528557055395
GRU4Rec,100,64,0.0005,0.4143,0.3473181310487538
SASRec,100,64,0.001,0.4684,0.38233573113030805
GRU4Rec,100,64,0.001,0.4132,0.34847205200085773
SASRec,100,64,0.005,0.5356,0.42171187699521795
GRU4Rec,100,64,0.005,0.4724,0.383784669510078
SASRec,100,128,0.0005,0.4413,0.35500560334200937
GRU4Rec,100,128,0.0005,0.4131,0.3479924226403149
SASRec,100,128,0.001,0.4663,0.38324067549096585
GRU4Rec,100,128,0.001,0.4176,0.34872450461879073
SASRec,100,128,0.005,0.4679,0.37380722531535865
GRU4Rec,100,128,0.005,0.4933,0.39624155335389233
SASRec,100,256,0.0005,0.4413,0.36136765825066564
GRU4Rec,100,256,0.0005,0.4136,0.34754670667547477
SASRec,100,256,0.001,0.4571,0.3776087871341245
GRU4Rec,100,256,0.001,0.4177,0.34533063084844
SASRec,100,256,0.005,0.4394,0.3548788479655567
GRU4Rec,100,256,0.005,0.5471,0.42615802395864966
